INFO 2026-07-01 15:05:31,692 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 15:05:33,558 middleware 48660 55616 GET /api/grants/opportunities/?page=1 200 0.009s [anonymous]
INFO 2026-07-01 15:05:34,063 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.026s [anonymous]
INFO 2026-07-01 15:05:34,067 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.027s [anonymous]
INFO 2026-07-01 15:05:34,070 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.025s [anonymous]
INFO 2026-07-01 15:05:34,080 middleware 48660 58840 GET /api/budgets/financials/?page_size=1 200 0.037s [anonymous]
INFO 2026-07-01 15:05:34,098 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:34,120 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.035s [anonymous]
INFO 2026-07-01 15:05:34,126 middleware 48660 58840 GET /api/budgets/financials/?page_size=1 200 0.025s [anonymous]
INFO 2026-07-01 15:05:34,131 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.023s [anonymous]
INFO 2026-07-01 15:05:35,983 middleware 48660 40528 GET /api/grants/opportunities/?page=1 200 0.013s [anonymous]
INFO 2026-07-01 15:05:36,819 middleware 48660 40528 GET /api/proposals/submissions/?page=1 200 0.008s [anonymous]
INFO 2026-07-01 15:05:43,323 middleware 48660 40528 GET /api/budgets/financials/?page=1 200 0.007s [anonymous]
INFO 2026-07-01 15:05:43,339 middleware 48660 40528 GET /api/budgets/financials/?page=1 200 0.013s [anonymous]
INFO 2026-07-01 15:05:48,334 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:48,341 middleware 48660 55616 GET /api/notifications/alerts/unread_count/ 200 0.024s [anonymous]
INFO 2026-07-01 15:05:48,349 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.033s [anonymous]
INFO 2026-07-01 15:05:48,353 middleware 48660 58840 GET /api/proposals/submissions/?page_size=1 200 0.039s [anonymous]
INFO 2026-07-01 15:05:48,368 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 15:05:48,374 middleware 48660 2312 GET /api/budgets/financials/?page_size=1 200 0.019s [anonymous]
INFO 2026-07-01 15:05:48,375 middleware 48660 55616 GET /api/notifications/alerts/unread_count/ 200 0.019s [anonymous]
INFO 2026-07-01 15:05:48,381 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:52,060 middleware 48660 58484 GET /api/grants/opportunities/?page=1 200 0.011s [anonymous]
INFO 2026-07-01 15:05:52,947 middleware 48660 58484 GET /api/proposals/submissions/?page=1 200 0.007s [anonymous]
INFO 2026-07-01 15:06:42,952 middleware 48660 58484 GET /api/auth/profile/ 200 0.010s [anonymous]
INFO 2026-07-01 15:06:42,963 middleware 48660 58484 GET /api/auth/profile/ 200 0.009s [anonymous]
INFO 2026-07-01 15:06:43,403 middleware 48660 58484 GET /api/proposals/submissions/?page=1 200 0.010s [anonymous]
INFO 2026-07-01 15:08:26,433 middleware 48660 58484 GET /api/auth/profile/ 200 0.010s [anonymous]
INFO 2026-07-01 15:08:26,438 middleware 48660 55616 GET /api/auth/profile/ 200 0.013s [anonymous]
